id,im_path,label_path
1639438026-369757795,WildScenes2d/K-03/image/1639438026-369757795.png,WildScenes2d/K-03/indexLabel/1639438026-369757795.png
1624328055-542742850,WildScenes2d/K-01/image/1624328055-542742850.png,WildScenes2d/K-01/indexLabel/1624328055-542742850.png
1639438856-976122854,WildScenes2d/K-03/image/1639438856-976122854.png,WildScenes2d/K-03/indexLabel/1639438856-976122854.png
1623379085-602528879,WildScenes2d/V-01/image/1623379085-602528879.png,WildScenes2d/V-01/indexLabel/1623379085-602528879.png
1639441169-326152993,WildScenes2d/K-03/image/1639441169-326152993.png,WildScenes2d/K-03/indexLabel/1639441169-326152993.png
1623372397-206453017,WildScenes2d/V-02/image/1623372397-206453017.png,WildScenes2d/V-02/indexLabel/1623372397-206453017.png
1639435233-796665184,WildScenes2d/K-03/image/1639435233-796665184.png,WildScenes2d/K-03/indexLabel/1639435233-796665184.png
1639435631-058425031,WildScenes2d/K-03/image/1639435631-058425031.png,WildScenes2d/K-03/indexLabel/1639435631-058425031.png
1639440043-663808216,WildScenes2d/K-03/image/1639440043-663808216.png,WildScenes2d/K-03/indexLabel/1639440043-663808216.png
1639439428-914126504,WildScenes2d/K-03/image/1639439428-914126504.png,WildScenes2d/K-03/indexLabel/1639439428-914126504.png
1639698599-034942099,WildScenes2d/V-03/image/1639698599-034942099.png,WildScenes2d/V-03/indexLabel/1639698599-034942099.png
1639439037-852857631,WildScenes2d/K-03/image/1639439037-852857631.png,WildScenes2d/K-03/indexLabel/1639439037-852857631.png
1639438685-691084814,WildScenes2d/K-03/image/1639438685-691084814.png,WildScenes2d/K-03/indexLabel/1639438685-691084814.png
1623378205-886504700,WildScenes2d/V-01/image/1623378205-886504700.png,WildScenes2d/V-01/indexLabel/1623378205-886504700.png
1639441257-109839355,WildScenes2d/K-03/image/1639441257-109839355.png,WildScenes2d/K-03/indexLabel/1639441257-109839355.png
