id,im_path,label_path
1639438026-369757795,WildScenes2d/K-03/image/1639438026-369757795.png,WildScenes2d/K-03/indexLabel/1639438026-369757795.png
1639435063-071982135,WildScenes2d/K-03/image/1639435063-071982135.png,WildScenes2d/K-03/indexLabel/1639435063-071982135.png
1639438477-670086131,WildScenes2d/K-03/image/1639438477-670086131.png,WildScenes2d/K-03/indexLabel/1639438477-670086131.png
1639438131-338912266,WildScenes2d/K-03/image/1639438131-338912266.png,WildScenes2d/K-03/indexLabel/1639438131-338912266.png
1639700289-958561278,WildScenes2d/V-03/image/1639700289-958561278.png,WildScenes2d/V-03/indexLabel/1639700289-958561278.png
1639439499-761021158,WildScenes2d/K-03/image/1639439499-761021158.png,WildScenes2d/K-03/indexLabel/1639439499-761021158.png
1623377936-611540335,WildScenes2d/V-01/image/1623377936-611540335.png,WildScenes2d/V-01/indexLabel/1623377936-611540335.png
1623379089-891159966,WildScenes2d/V-01/image/1623379089-891159966.png,WildScenes2d/V-01/indexLabel/1623379089-891159966.png
1623371201-980603790,WildScenes2d/V-02/image/1623371201-980603790.png,WildScenes2d/V-02/indexLabel/1623371201-980603790.png
1639698553-096705899,WildScenes2d/V-03/image/1639698553-096705899.png,WildScenes2d/V-03/indexLabel/1639698553-096705899.png
1623377913-228868211,WildScenes2d/V-01/image/1623377913-228868211.png,WildScenes2d/V-01/indexLabel/1623377913-228868211.png
1623370646-077600085,WildScenes2d/V-02/image/1623370646-077600085.png,WildScenes2d/V-02/indexLabel/1623370646-077600085.png
1639439428-914126504,WildScenes2d/K-03/image/1639439428-914126504.png,WildScenes2d/K-03/indexLabel/1639439428-914126504.png
1639698599-034942099,WildScenes2d/V-03/image/1639698599-034942099.png,WildScenes2d/V-03/indexLabel/1639698599-034942099.png
1639439037-852857631,WildScenes2d/K-03/image/1639439037-852857631.png,WildScenes2d/K-03/indexLabel/1639439037-852857631.png
1623379087-009455818,WildScenes2d/V-01/image/1623379087-009455818.png,WildScenes2d/V-01/indexLabel/1623379087-009455818.png
1639442208-548706436,WildScenes2d/K-03/image/1639442208-548706436.png,WildScenes2d/K-03/indexLabel/1639442208-548706436.png
1639438320-760613482,WildScenes2d/K-03/image/1639438320-760613482.png,WildScenes2d/K-03/indexLabel/1639438320-760613482.png
1639441257-109839355,WildScenes2d/K-03/image/1639441257-109839355.png,WildScenes2d/K-03/indexLabel/1639441257-109839355.png
